iter	Logloss
0	0.6856203708
1	0.6787885141
2	0.6723024671
3	0.6662705101
4	0.6601327285
5	0.6542441156
6	0.648041126
7	0.6420242218
8	0.636376108
9	0.6306751894
10	0.6246670092
11	0.6192575062
12	0.6143389675
13	0.6088122325
14	0.6037008554
15	0.5984576916
16	0.5933267291
17	0.5882264274
18	0.5835853519
19	0.5790271247
20	0.5745064094
21	0.5696359102
22	0.5654654879
23	0.5615646958
24	0.5579269541
25	0.5538078292
26	0.5503242826
27	0.5465127615
28	0.5431622815
29	0.5391919175
30	0.5355092941
31	0.5315845925
32	0.5281741273
33	0.5249474186
34	0.5215365515
35	0.5183972905
36	0.5153809786
37	0.512285248
38	0.5091439818
39	0.5062236331
40	0.5035421789
41	0.5001483935
42	0.4974245592
43	0.4948849406
44	0.4923426424
45	0.4894111483
46	0.4871377612
47	0.4846904741
48	0.4820960235
49	0.4795870324
50	0.4774651484
51	0.4753100153
52	0.4727891664
53	0.470846444
54	0.4689882113
55	0.4668103239
56	0.4648372402
57	0.4627236949
58	0.460542163
59	0.4587192519
60	0.4572271867
61	0.4554482206
62	0.4537198043
63	0.4523048247
64	0.4501714544
65	0.4482747545
66	0.4467957281
67	0.4453400168
68	0.4436721381
69	0.4420541983
70	0.4405915506
71	0.4395085542
72	0.4379148674
73	0.4367171367
74	0.4353400825
75	0.4341090525
76	0.4326815724
77	0.4310432254
78	0.4297691001
79	0.4286575055
80	0.4274582485
81	0.4261453994
82	0.4250179807
83	0.4238849421
84	0.4230019861
85	0.4218900044
86	0.4206676987
87	0.4193667856
88	0.4182994043
89	0.4170683156
90	0.4160657186
91	0.4148298333
92	0.4140934766
93	0.4128895276
94	0.4120891228
95	0.4108399353
96	0.4099567135
97	0.4088453964
98	0.4077548996
99	0.4069575337
100	0.4060123681
101	0.4050824859
102	0.4040299819
103	0.4030438549
104	0.4024180559
105	0.4019599703
106	0.401288626
107	0.4002374699
108	0.3995520355
109	0.398639154
110	0.3978637619
111	0.3971422687
112	0.3964372897
113	0.3957936718
114	0.3952864963
115	0.394492758
116	0.3938166201
117	0.3932010916
118	0.392619176
119	0.3918338207
120	0.3913794081
121	0.3909088977
122	0.3903371657
123	0.3897173234
124	0.3891749407
125	0.388580764
126	0.3878884415
127	0.3871949281
128	0.3866356487
129	0.3859925433
130	0.3853782189
131	0.3847871595
132	0.3842204279
133	0.3834952411
134	0.3829789656
135	0.3825095123
136	0.3819146821
137	0.3814044199
138	0.3809964639
139	0.3806613999
140	0.3802213856
141	0.3797987221
142	0.3793362769
143	0.3789498275
144	0.3784254078
145	0.3780459972
146	0.3775746032
147	0.3771771382
148	0.3767795907
149	0.3764170845
150	0.3761262536
151	0.37566091
152	0.3753481568
153	0.3749768837
154	0.3746373451
155	0.3741405302
156	0.373811419
157	0.3735015424
158	0.3730881534
159	0.372635534
160	0.3723345205
161	0.3719355543
162	0.3716692658
163	0.3712731056
164	0.3708670789
165	0.370547696
166	0.3702549794
167	0.369956858
168	0.3696602876
169	0.3694509337
170	0.3691047344
171	0.368840413
172	0.3685493682
173	0.3682994735
174	0.3679469576
175	0.3677016672
176	0.3673801907
177	0.3671348112
178	0.366838443
179	0.3666031108
180	0.3663526519
181	0.36604519
182	0.3657902797
183	0.3655287298
184	0.365294313
185	0.3650524686
186	0.3647721125
187	0.3645088316
188	0.3642412186
189	0.3640175202
190	0.3637962468
191	0.3635947279
192	0.3633205695
193	0.3630482786
194	0.362849351
195	0.3626361347
196	0.3624147025
197	0.3621344183
198	0.3618994344
199	0.3616891814
200	0.3614613726
201	0.3612553523
202	0.3610291188
203	0.3607902546
204	0.3605995545
205	0.3603823135
206	0.3602174833
207	0.3600012824
208	0.3597944005
209	0.3596496144
210	0.3594347823
211	0.3592936141
212	0.359123343
213	0.3589847314
214	0.358766033
215	0.3586341427
216	0.3584492947
217	0.3582764126
218	0.3581579455
219	0.3580318
220	0.3578352405
221	0.3576839708
222	0.3575378996
223	0.3573687457
224	0.3571832201
225	0.356978403
226	0.3567724789
227	0.3566039394
228	0.3564636826
229	0.3562955988
230	0.3561358944
231	0.3560393626
232	0.3558989541
233	0.3557543271
234	0.3556286161
235	0.3554944428
236	0.3553152178
237	0.3551213279
238	0.3549945058
239	0.3548837579
240	0.3546858301
241	0.354518001
242	0.3543912335
243	0.3542504922
244	0.354055019
245	0.3539359048
246	0.3537953191
247	0.3536930738
248	0.3535659164
249	0.3534589685
250	0.3533358891
251	0.3532335989
252	0.353126267
253	0.3529570464
254	0.3528554442
255	0.3527398819
256	0.3526119292
257	0.3524817797
258	0.3523796888
259	0.3522749822
260	0.3521834265
261	0.3520802846
262	0.3519655425
263	0.3518777536
264	0.3517200892
265	0.3515984509
266	0.3515030551
267	0.3514121224
268	0.3512778582
269	0.3511601254
270	0.3510241641
271	0.3509102421
272	0.3507991291
273	0.3507098758
274	0.3506236274
275	0.3505407721
276	0.3504188128
277	0.3503075649
278	0.3502257903
279	0.350118878
280	0.350038394
281	0.3499447703
282	0.3498521779
283	0.3497610923
284	0.3496440367
285	0.349558526
286	0.3494262245
287	0.3493169288
288	0.3492467207
289	0.3491820359
290	0.3490926313
291	0.3489731226
292	0.3489014629
293	0.3488218784
294	0.3487263716
295	0.3485930427
296	0.3485283289
297	0.3484093435
298	0.3482981929
299	0.3482178587
300	0.348128175
301	0.348043328
302	0.3479887201
303	0.3479005327
304	0.3478307535
305	0.3477658323
306	0.347701533
307	0.3476074691
308	0.3475193467
309	0.3474526559
310	0.3473704822
311	0.3473196019
312	0.3472190002
313	0.3471364601
314	0.3470255073
315	0.3469318588
316	0.3468684651
317	0.3468023387
318	0.3467466816
319	0.3466861701
320	0.3466222067
321	0.3465416345
322	0.3464403581
323	0.346367312
324	0.3462777681
325	0.3461911154
326	0.3461263077
327	0.3460603091
328	0.3459711463
329	0.3459061913
330	0.3458115351
331	0.3457382581
332	0.3456906194
333	0.3456629781
334	0.3456094895
335	0.3455162068
336	0.3454593375
337	0.3453758809
338	0.3453081082
339	0.3452354475
340	0.3451755743
341	0.3451328081
342	0.3450807765
343	0.3450260631
344	0.3449541686
345	0.3448790269
346	0.3448217346
347	0.3447821026
348	0.3447018803
349	0.344632888
350	0.3445661037
351	0.3444949513
352	0.3444489902
353	0.3443675859
354	0.3443224322
355	0.3442553425
356	0.3441809422
357	0.3440932059
358	0.3440179575
359	0.3439728041
360	0.3439369069
361	0.3438920169
362	0.3438195954
363	0.3437742626
364	0.3437252504
365	0.343676566
366	0.3436087582
367	0.3435512113
368	0.3435065965
369	0.3434598141
370	0.3433988624
371	0.3433719097
372	0.3432985669
373	0.3432217247
374	0.3431470978
375	0.3430780034
376	0.3430248149
377	0.3429864867
378	0.3429095834
379	0.3428483995
380	0.3427950064
381	0.3427332577
382	0.3426812246
383	0.3426386929
384	0.3425798366
385	0.3425519753
386	0.3424998102
387	0.34244456
388	0.3423762942
389	0.3423424943
390	0.3423095413
391	0.342249588
392	0.3421870962
393	0.3421136034
394	0.342032628
395	0.3419721327
396	0.3419187548
397	0.3418860348
398	0.3418499896
399	0.3417895181
400	0.3417467032
401	0.3417201912
402	0.3416481857
403	0.3415812809
404	0.3415340801
405	0.3415055054
406	0.3414353208
407	0.3413718854
408	0.3413275853
409	0.3412716863
410	0.3412363701
411	0.3411983867
412	0.3411276425
413	0.3410833884
414	0.3410153651
415	0.3409677446
416	0.3409254526
417	0.3408724271
418	0.3408059119
419	0.340776759
420	0.3407364424
421	0.3406729251
422	0.3406388066
423	0.3406017774
424	0.3405681392
425	0.3405178942
426	0.3404712212
427	0.3404150185
428	0.3403695146
429	0.3403424566
430	0.3402915844
431	0.3402538521
432	0.3402032349
433	0.3401666173
434	0.3401273016
435	0.3400802605
436	0.3400438537
437	0.3399969187
438	0.3399162875
439	0.339875507
440	0.33983436
441	0.3397800644
442	0.3397072462
443	0.3396794139
444	0.3396393918
445	0.3396002536
446	0.3395425065
447	0.3395047062
448	0.3394662629
449	0.3394295252
450	0.3393770462
451	0.3393354341
452	0.3393082896
453	0.339259042
454	0.3392268087
455	0.3391980016
456	0.3391675492
457	0.3391061044
458	0.3390527662
459	0.3390261557
460	0.3389864114
461	0.3389384762
462	0.3389096499
463	0.338859274
464	0.338816043
465	0.3387846469
466	0.3387258405
467	0.3386969393
468	0.338666691
469	0.3386345724
470	0.3386018068
471	0.3385695966
472	0.3385222741
473	0.3384940721
474	0.3384600583
475	0.3384046702
476	0.3383688234
477	0.3383377375
478	0.3383023207
479	0.3382664257
480	0.3382115354
481	0.3381707203
482	0.3381362165
483	0.3381032548
484	0.3380681566
485	0.3380248804
486	0.3380029949
487	0.3379559376
488	0.3379150195
489	0.3378803716
490	0.3378552137
491	0.337820845
492	0.3377927285
493	0.3377546945
494	0.337714372
495	0.3376753752
496	0.3376433879
497	0.3376085615
498	0.3375691598
499	0.3375269309
500	0.3374762279
501	0.3374426179
502	0.3374104472
503	0.3373735948
504	0.3373513327
505	0.3373133368
506	0.3372909906
507	0.3372615831
508	0.3372131978
509	0.3371659037
510	0.3371119308
511	0.3370907808
512	0.3370666235
513	0.3370497096
514	0.3370155326
515	0.3369918821
516	0.3369626518
517	0.3369314201
518	0.3369034647
519	0.3368632377
520	0.3368287351
521	0.3368028081
522	0.3367648773
523	0.3367367372
524	0.3367023177
525	0.3366656658
526	0.336610942
527	0.336582156
528	0.3365407122
529	0.3365070919
530	0.3364631063
531	0.3364131038
532	0.3363909055
533	0.3363627443
534	0.3363314888
535	0.3362969722
536	0.3362696634
537	0.3362386727
538	0.3362017168
539	0.3361830689
540	0.3361560152
541	0.336117918
542	0.3360848552
543	0.3360529574
544	0.3360173984
545	0.3359846868
546	0.3359557642
547	0.33592059
548	0.335887947
549	0.335836066
550	0.3358112549
551	0.3357738436
552	0.3357525958
